Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;PI;TERESINA;POSTO CERTO LTDA; 08.610.754/0002-56;AVENIDA DEPUTADO PAULO FERRAZ;1771;;BEIRA RIO;64075-535;GASOLINA ADITIVADA;31/03/2026;6,69;;R$ / litro;SABBÁ
NE;PI;TERESINA;POSTO CERTO LTDA; 08.610.754/0002-56;AVENIDA DEPUTADO PAULO FERRAZ;1771;;BEIRA RIO;64075-535;DIESEL;31/03/2026;7,69;;R$ / litro;SABBÁ
NE;PI;TERESINA;POSTO CERTO LTDA; 08.610.754/0002-56;AVENIDA DEPUTADO PAULO FERRAZ;1771;;BEIRA RIO;64075-535;DIESEL S10;31/03/2026;7,79;;R$ / litro;SABBÁ
NE;PI;TERESINA;POSTO CERTO LTDA; 08.610.754/0002-56;AVENIDA DEPUTADO PAULO FERRAZ;1771;;BEIRA RIO;64075-535;ETANOL;31/03/2026;4,99;;R$ / litro;SABBÁ
NE;PI;TERESINA;POSTO FLEX COMBUSTIVEIS LTDA; 10.948.874/0001-29;AVENIDA PRESIDENTE KENNEDY;5200;/B;MORROS;64062-100;GASOLINA;30/03/2026;6,67;;R$ / litro;BRANCA
NE;PI;TERESINA;POSTO FLEX COMBUSTIVEIS LTDA; 10.948.874/0001-29;AVENIDA PRESIDENTE KENNEDY;5200;/B;MORROS;64062-100;DIESEL S10;30/03/2026;7,29;;R$ / litro;BRANCA
NE;PI;TERESINA;POSTO FLEX COMBUSTIVEIS LTDA; 10.948.874/0001-29;AVENIDA PRESIDENTE KENNEDY;5200;/B;MORROS;64062-100;ETANOL;30/03/2026;4,87;;R$ / litro;BRANCA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0019-72;AVENIDA LINDOLFO MONTEIRO;990;;FATIMA;64049-440;GASOLINA;30/03/2026;6,89;;R$ / litro;VIBRA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0019-72;AVENIDA LINDOLFO MONTEIRO;990;;FATIMA;64049-440;GASOLINA ADITIVADA;30/03/2026;7,19;;R$ / litro;VIBRA
NE;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0019-72;AVENIDA LINDOLFO MONTEIRO;990;;FATIMA;64049-440;DIESEL;30/03/2026;7,39;;R$ / litro;VIBRA
